kepid,kepler_name,koi_disposition,koi_score,koi_period,koi_sma,ra,dec,koi_kepmag
1293031,,FALSE POSITIVE,0.0000,0.53936593,0.0165,291.020970,36.903648,12.915
1575873,,FALSE POSITIVE,1.0000,0.629001455,0.016,291.926360,37.101292,11.283
1717722,,CANDIDATE,0.8580,0.977311489,0.0175,290.617980,37.289089,15.689
2013883,,FALSE POSITIVE,0.0000,0.764597756,0.0177,291.283200,37.419601,11.215
2140389,,FALSE POSITIVE,0.0000,0.967427812,0.0176,285.916410,37.594280,15.826
2165352,,FALSE POSITIVE,0.0000,0.7906069,0.0155,292.543150,37.555759,14.469
2283362,,CANDIDATE,,0.673141323,0.0148,286.110750,37.611851,15.771
2302758,,FALSE POSITIVE,0.0000,0.542122617,0.0134,291.402890,37.676689,14.661
2305543,,FALSE POSITIVE,0.0000,0.681137796,0.0141,292.026860,37.600651,12.545
2308411,,FALSE POSITIVE,0.0140,0.983304511,0.021,292.637660,37.641880,14.981
2441728,,FALSE POSITIVE,0.0000,0.856895349,0.0174,291.074460,37.744389,13.098
2442359,,FALSE POSITIVE,0.0000,0.552834211,0.0141,291.223180,37.781551,13.931
2449053,,FALSE POSITIVE,0.0000,0.73975345,0.0153,292.689850,37.774361,15.141
2449101,,FALSE POSITIVE,,0.739761008,0.0113,292.698550,37.778481,15.049
2557430,,FALSE POSITIVE,0.0000,0.648868342,0.0152,286.845280,37.815891,11.471
2558363,,FALSE POSITIVE,0.0000,0.54624855,0.0121,287.133880,37.839260,15.996
2558370,,FALSE POSITIVE,0.0000,0.546248198,0.0131,287.135960,37.838306,18.550
2573056,,FALSE POSITIVE,0.0000,0.631795416,0.0155,290.847140,37.864052,14.676
2578017,,FALSE POSITIVE,0.0000,0.592562969,0.0133,291.914150,37.807819,15.784
2583777,,FALSE POSITIVE,0.0000,0.958116585,0.0187,293.167270,37.841389,12.735
2694632,,FALSE POSITIVE,0.0000,0.92225589,0.0188,286.373380,37.919003,12.352
2696205,,CANDIDATE,0.9870,0.702739679,0.0145,286.898410,37.937450,14.990
2707097,,FALSE POSITIVE,0.0000,0.692807507,0.0154,290.045530,37.939384,15.726
2711597,,FALSE POSITIVE,0.0000,0.98041685,0.0172,291.124540,37.986511,14.484
2720309,,FALSE POSITIVE,,0.413334492,0.0112,293.025120,37.992641,14.784
2851100,,FALSE POSITIVE,0.0000,0.890110752,0.0167,291.170680,38.008591,15.723
2854948,,FALSE POSITIVE,0.0000,0.97430309,0.0183,291.984160,38.088371,15.783
2859299,,FALSE POSITIVE,0.0000,0.643703667,0.0148,292.883420,38.074951,13.791
2860114,,FALSE POSITIVE,0.0000,0.941603153,0.0173,293.065980,38.042011,14.834
2970670,,CANDIDATE,0.8940,0.947554749,0.0186,286.071140,38.167610,13.853
2970804,,FALSE POSITIVE,0.0000,0.686994057,0.0153,286.106960,38.107628,9.160
2986833,,CANDIDATE,0.9880,0.912179022,0.0155,290.782140,38.187790,15.783
3003019,,FALSE POSITIVE,0.0000,0.502622858,0.0127,294.291960,38.138771,14.564
3098605,,CANDIDATE,0.8620,0.428046051,0.0104,286.147770,38.241798,15.247
3112129,,CANDIDATE,0.9990,0.487656278,0.0122,290.337190,38.205009,14.374
3113266,,FALSE POSITIVE,0.0000,0.995861402,0.0176,290.639430,38.284630,15.577
3114661,,FALSE POSITIVE,0.0000,0.444291966,0.0101,290.996890,38.284920,15.748
3114667,,FALSE POSITIVE,0.0000,0.888584158,0.0153,290.997250,38.282616,17.375
3121340,,FALSE POSITIVE,0.0000,0.723947772,0.0147,292.529480,38.282848,13.578
3122985,,FALSE POSITIVE,0.3490,0.993488979,0.0179,292.918910,38.206692,14.701
3124412,,FALSE POSITIVE,0.0000,0.948950734,0.0198,293.243840,38.273270,14.909
3124420,,FALSE POSITIVE,0.0000,0.948951607,0.0189,293.245360,38.272182,18.241
3127911,,FALSE POSITIVE,,0.542498653,0.0164,294.018220,38.226292,10.326
3130548,,FALSE POSITIVE,0.0000,0.878855771,0.0172,294.576970,38.265518,14.853
3228740,,FALSE POSITIVE,0.0000,0.730956716,0.0159,289.742400,38.373169,13.707
3228804,,FALSE POSITIVE,0.0000,0.730947169,0.0155,289.761140,38.353519,15.010
3228824,,FALSE POSITIVE,0.0000,0.73093905,0.0142,289.764830,38.352360,15.736
3228825,,FALSE POSITIVE,0.0000,0.73095491,0.0175,289.764920,38.383450,12.028
3228945,,FALSE POSITIVE,0.0000,0.730943372,0.0163,289.793400,38.385078,15.021
3228959,,FALSE POSITIVE,0.0000,0.73094589,0.0155,289.796200,38.351181,15.401
3228986,,FALSE POSITIVE,0.0000,0.730949487,0.0169,289.803220,38.366692,14.184
3228988,,FALSE POSITIVE,0.0000,0.73094701,0.0155,289.804230,38.370708,15.312
3229028,,FALSE POSITIVE,0.0000,0.730964241,0.0164,289.811430,38.324951,13.036
3233043,,FALSE POSITIVE,0.0000,0.379463865,0.0099,290.911190,38.335579,13.787
3239636,,FALSE POSITIVE,0.0000,0.528755447,0.0134,292.583040,38.374378,14.662
3240406,,FALSE POSITIVE,0.0000,0.934181579,0.0228,292.776340,38.393970,11.219
