,pl_hostname,pl_orbper,pl_orbsmax,gaia_id,source,designation,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,mean_varpi_factor_al,rv_nb_transits,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,source_id,distance,r_lo,r_hi,petigura_radial_velocity,ra_prop,dec_prop,LAMOST_radial_velocity,gaia_rv,rv_source,ext_B_V,ext_bp_rp,ext_G,bp_rp0,G0,M_G0
1,KIC 2718885,0.1973335,0.01339892627228417,Gaia DR2 2051868403166068480,SO,Gaia DR2 2051868403166068480,292.71603109183144,0.016649980662659263,37.94378612611069,0.02315584215708483,0.8214350474324259,0.024399931516546187,33.665466,-2.2461781132060246,0.03631177388040883,-9.899243618670939,0.0406627641596603,-0.028885983,0.029893046,-0.004309781,-0.13118039,0.45146796,-0.23110677,-0.07413556,-0.24118683,-0.03182788,-0.025278728,225.0,0.0,225.0,0.0,-3.9056022,147.31294,0.0,1.3549518332149438e-15,15.0,-0.09006498,0.0,14.6336155,1.0284014,0.43793392,0.59046745,-18.3,,b'NOT_AVAILABLE',71.01245463977166,9.220455683941433,2.0518684031660685e+18,1177.13588322463,1144.00645873253,1212.2042215748,-18.3,292.716043355176,37.9438287478534,,,Petigura,0.094285042954569,0.1262476725161679,0.2583410176955191,0.9021537023007267,14.375274476078895,4.279482500167294
2,KIC 3112129,0.48765719,0.01740855914468574,Gaia DR2 2052805015271412224,SO,Gaia DR2 2052805015271412224,290.33718587692675,0.016548899690732716,38.2049733346969,0.018504881330205558,1.1589756199205001,0.019811194966532133,58.501045,0.9145798375465878,0.03457485328247842,-1.504146237485985,0.03258232348093727,0.118953,0.08667494,-0.36805198,-0.10622179,0.35160968,-0.163415,-0.3494427,-0.19638057,-0.1740205,0.0763145,222.0,0.0,221.0,1.0,-0.5350741,204.42517,0.0,0.0,15.0,-0.06451034,0.0,14.36505,0.8912182,0.3660431,0.5251751,19.9,,b'NOT_AVAILABLE',70.39615897825247,11.01120077704689,2.0528050152714122e+18,842.073771822242,828.149282085846,856.465795110062,19.9,290.3371808657808,38.204979810881994,,,Petigura,0.057348095987636634,0.07678910052744545,0.15713378300612438,0.8144290848973592,14.20791653285081,4.738300566831894
3,KIC 4665571,0.76669043,0.01718812699651613,Gaia DR2 2076454445237794432,SO,Gaia DR2 2076454445237794432,294.66467890841784,0.02155887938552263,39.783846145363334,0.028650282818414693,1.9703387881105137,0.03246695495141298,60.687515,-5.399380865709994,0.046706671997492615,4.723782057699784,0.0467933283189782,-0.08440735,-0.045229245,-0.006306073,-0.08580895,0.53529376,-0.2211612,-0.10120249,-0.26677528,-0.07149958,-0.06973875,192.0,0.0,191.0,1.0,-0.6553738,173.00777,0.0,0.0,13.0,-0.16350046,0.0,14.904736,1.2624559,0.56635475,0.6961012,3.6,,b'NOT_AVAILABLE',73.37625317948009,8.734754824868675,2.0764544452377943e+18,500.394732562741,492.332327922295,508.720709241526,3.6,294.66470916009973,39.783825806853315,,,Petigura,0.03896993030317074,0.05218073667594562,0.10677760903068784,1.2102752035706363,14.797957956154859,6.408171918101974
4,KIC 4929299,0.43436157,0.013379394309788128,Gaia DR2 2053248805655536384,SO,Gaia DR2 2053248805655536384,293.35098297728257,0.01919959602779723,40.05967522037403,0.022764533657173132,1.3359543754552416,0.02548845952227756,52.41409,-2.1063171795444617,0.04185185451930639,-6.032990241927193,0.03955012970405659,0.021914093,0.0862829,0.052025642,-0.087735094,0.43453732,-0.2077358,-0.14759177,-0.26155785,-0.04226759,0.06294395,210.0,0.0,209.0,1.0,-3.687626,137.6979,0.0,0.0,15.0,0.0064126295,0.0,14.771975,1.0165205,0.43390942,0.5826111,-23.6,,b'NOT_AVAILABLE',73.14762023529669,9.754654008362772,2.0532488056555364e+18,733.019384541619,719.469379394282,747.080044018148,-23.6,293.3509948262121,40.059701195748076,,,Petigura,0.04229433291111589,0.056632111767984175,0.11588647217645755,0.9598883884151213,14.656088091422175,5.446397265507972
5,KIC 5480884,0.23624272,0.004570479224073608,Gaia DR2 2075060161424454528,SO,Gaia DR2 2075060161424454528,299.5467031361605,0.03940737671333622,40.68184833478606,0.0504010659568426,1.3182817609684647,0.05733847697021848,22.991224,-5.473581157016895,0.08356929583362559,-9.976987836008668,0.07595862275201304,-0.13995963,-0.23356444,-0.3409825,-0.00346738,0.5975321,-0.0845491,-0.2542399,-0.07330693,-0.11803472,-0.04723145,196.0,0.0,196.0,0.0,-0.65741915,177.80049,0.0,0.0,13.0,-0.18095197,0.0,16.047815,1.3731384,0.6207466,0.7523918,10.0,,b'NOT_AVAILABLE',76.01852534132306,5.937133293154983,2.0750601614244547e+18,744.461390433857,713.710274042325,777.930043840061,10.0,299.5467342129801,40.681891291257294,,,Petigura,0.08999305159256563,0.12050069608244537,0.24658096136362984,1.2526377316519297,15.801234361512346,6.688604427319687
6,KIC 5955905,0.51705775,0.029970401309996716,Gaia DR2 2101778809360993408,SO,Gaia DR2 2101778809360993408,290.3628948222974,0.018235526515163657,41.209790957809304,0.019585090238638244,0.560636070431716,0.021856210972679698,25.65111,-0.5124900564654753,0.03941632432016543,-9.945333543037517,0.038955168325751986,0.08428777,0.14504161,-0.055155378,-0.026128944,0.20885566,-0.05038985,-0.21170042,-0.160793,-0.09027024,0.09406512,238.0,0.0,236.0,2.0,1.1499794,255.89558,0.0,0.0,15.0,0.12384895,0.0,14.954194,0.73139095,0.2850628,0.44632816,,,b'NOT_AVAILABLE',73.16931645380663,12.296942430847677,2.1017788093609933e+18,1696.86476843975,1635.75329493605,1762.62267964488,,290.36289775536795,41.20983377799536,,, ,0.06302181767921618,0.08438621387247046,0.17267978044105234,0.6470047391914944,14.781514288467639,3.805956952145081
7,KIC 6359893,0.18043173,0.014801042151464258,Gaia DR2 2101808393096586368,SO,Gaia DR2 2101808393096586368,290.38668527421095,0.03258497575439003,41.745252747382594,0.034231279298657595,0.5674380477044106,0.03571926308246826,15.886051,-2.0179010296378097,0.07911286627278079,-6.580722682175847,0.06450641973434068,-0.19740771,-0.17920233,-0.28019267,0.13313828,0.2133038,0.10799292,-0.3732371,-0.050074726,-0.119962916,-0.12036572,230.0,0.0,230.0,0.0,-2.5919287,173.81213,0.0,0.0,16.0,-0.009938558,0.0,15.942159,0.8894577,0.3652792,0.5241785,-22.2,,b'NOT_AVAILABLE',73.67245560895087,12.510409611535742,2.1018083930965862e+18,1678.86819459996,1581.83225076929,1788.28942195447,-22.2,290.3866969188199,41.745281081049114,,,Petigura,0.05738615855340688,0.07684006630301181,0.15723807443633486,0.812617636333707,15.784920624599309,4.817074736990527
8,KIC 6525946,0.49607106,0.012292115064175175,Gaia DR2 2077654287299877248,SO,Gaia DR2 2077654287299877248,292.95419917544854,0.02498263420722902,41.934802458723226,0.029957826734997035,0.6325989650622688,0.02723026747021187,23.231464,2.1829863076876554,0.05301025579735865,-0.4338898866706614,0.05760871741442729,-0.18592449,0.009389114,-0.3746123,0.15116629,0.13569538,0.14746979,-0.52513725,-0.07735114,-0.09198338,-0.21702218,205.0,0.0,204.0,1.0,-1.062364,177.92996,0.0,0.0,14.0,-0.07761744,0.0,15.334232,0.8390322,0.34000778,0.4990244,0.6,,b'NOT_AVAILABLE',74.705327102292,10.875901502924698,2.0776542872998774e+18,1513.71505656409,1453.32992870475,1579.23054687253,0.6,292.95418654082516,41.93480432685953,,,Petigura,0.07219113481661436,0.09666392951944663,0.19780370939752337,0.7423682436372916,15.136428620924741,4.434011676458731
9,KIC 8435766,0.35500753,0.011597335255387429,Gaia DR2 2078373642776670080,SO,Gaia DR2 2078373642776670080,293.741954257176,0.016715837021937064,44.44825211347275,0.022722066825606967,8.011261176282497,0.021162389869208213,378.56128,38.05982656382559,0.0364873678063448,-16.11091464008735,0.04492381974777506,-0.09315879,0.044022907,-0.15731843,-0.011259164,0.18143384,-0.054221988,-0.27834654,-0.1680203,0.04936161,-0.06331936,228.0,228.0,225.0,3.0,1.4802121,251.80263,0.0,0.0,16.0,-0.0014877191,3.0,11.528678,1.1182365,0.49489403,0.6233425,-3.5,0.3941423586685935,b'NOT_AVAILABLE',77.25545804887567,11.499471736940768,2.0783736427766702e+18,124.3757049862,124.046735753032,124.706392540259,-3.5,293.7417247114451,44.448321479659086,-7.07,-2.4786484997339935,Petigura,0.014894487134155032,0.01994371827263359,0.04081089474758479,1.0982928234754132,11.487867045621067,6.055001116902249
10,KIC 9642018,0.25255594,0.01374027056923879,Gaia DR2 2127378704229941120,SO,Gaia DR2 2127378704229941120,288.59680025255784,0.024731401690949843,46.32601682308961,0.026431896656244253,1.1218164766361391,0.027226033095549645,41.203815,-3.303955374137084,0.054951450623603106,-2.91563201239262,0.05480070896110566,0.09631282,0.12557337,-0.07652876,-0.13686362,0.24440508,-0.1257853,-0.1948054,0.024418427,-0.055732604,0.05979686,227.0,0.0,226.0,1.0,-1.8169308,184.36835,0.0,0.0,16.0,0.014402413,0.0,15.546335,1.1271219,0.4916153,0.63550663,14.7,,b'NOT_AVAILABLE',77.43120276636174,15.567031455214234,2.1273787042299412e+18,869.421551110714,849.162152170924,890.652680781875,14.7,288.59682085249005,46.32602937650337,,,Petigura,0.028512735254907752,0.03817855250632148,0.07812489459844725,1.0889433728476825,15.468210325738466,5.850183214214079
