pl_hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,hip_name,ra,dec,st_radv,st_radverr1,st_radverr2,st_optmag,st_optmagerr,st_optband,st_bmvj,st_bmvjerr,st_rad,st_raderr1,st_raderr2,st_metfe,st_metfeerr1,st_metfeerr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,pl_disc_refname,pl_letter
HD 3167,0.95962400,0.00002800,-0.00002800,0.018600,0.000300,-0.000300,,,,,,,,,,0,0.152,HIP 2736,8.739684,4.381469,19.50,0.10,-0.10,8.940,0.020,V (Johnson),0.826,0.027,0.87,0.01,-0.01,-0.020,0.170,-0.170,5528.00,162.00,-162.00,4.53,0.02,-0.02,,,,Vanderburg et al. 2016,b
55 Cnc,0.73653900,0.00000700,-0.00000700,0.015440,0.000090,-0.000090,,,,83.300,0.900,-0.800,0.02542,0.00098,-0.00098,0,0.170,HIP 43587,133.149216,28.330818,27.40,,,5.960,0.010,V (Johnson),0.870,0.010,0.94,0.01,-0.01,0.310,0.040,-0.040,5196.00,24.00,-24.00,4.45,0.01,-0.01,10.200,2.500,-2.500,McArthur et al. 2004,e
WASP-18,0.94145000,0.00000100,-0.00000100,,,,0.010000,0.000000,0.000000,80.600,1.200,-1.200,11.44000,1.51000,-1.51000,0,1.200,HIP 7562,24.354311,-45.677887,3.20,0.00,,9.303,0.018,V (Johnson),0.450,0.050,1.29,0.05,-0.05,0.130,,,6431.00,48.00,-48.00,4.47,0.13,-0.13,,,,Hellier et al. 2009,b
KOI-55,0.24010400,0.00000400,-0.00000400,0.006000,,,,,,65.000,,,0.00140,,,0,0.068,,296.356105,41.092755,,,,14.870,0.020,V (Johnson),,,0.20,0.01,-0.01,,,,27730.00,270.00,-270.00,5.52,0.03,-0.03,,,,Charpinet et al. 2011,b
KOI-55,0.34288700,0.00001300,-0.00001300,0.007600,,,,,,65.000,,,0.00210,,,0,0.077,,296.356105,41.092755,,,,14.870,0.020,V (Johnson),,,0.20,0.01,-0.01,,,,27730.00,270.00,-270.00,5.52,0.03,-0.03,,,,Charpinet et al. 2011,c
Kepler-32,0.74296000,0.00007000,-0.00007000,0.013000,,,,,,,,,,,,,0.073,,297.842398,46.574281,-32.50,0.50,-0.50,16.452,,V (Johnson),,,0.53,0.04,-0.04,0.000,0.400,-0.400,3900.00,200.00,-200.00,4.64,0.30,-0.30,,,,Swift et al. 2013,f
Kepler-10,0.83749100,0.00000200,-0.00000200,0.017200,0.000810,-0.001680,,,,85.100,3.400,-4.300,0.01450,0.00400,-0.00460,0,0.132,,285.679394,50.241299,-98.74,0.00,-0.00,10.940,0.345,V (Johnson),,,1.06,0.01,-0.01,-0.150,0.040,-0.040,5627.00,44.00,-44.00,4.35,0.06,-0.06,,,,Batahla et al. 2011,b
Kepler-78,0.35500744,0.00000006,-0.00000006,,,,,,,79.000,12.500,-12.500,0.01000,0.00000,0.00000,0,0.100,,293.741690,44.448330,-3.51,0.00,-0.00,11.551,,Kepler-band,,,0.75,0.03,-0.03,-0.140,,,5089.00,50.00,-50.00,4.60,0.10,-0.10,,,,Sanchis-Ojeda et al. 2013,b
Kepler-42,0.45328509,0.00000097,-0.00000097,0.006000,,,,,,,,,,,,,0.065,,292.219033,44.619160,-84.48,0.20,-0.20,16.124,0.055,V (Johnson),,,0.17,0.04,-0.04,-0.330,0.120,-0.120,3068.00,174.00,-174.00,,,,4.500,0.500,-1.000,Muirhead et al. 2012,c
CoRoT-7,0.85359163,0.00000001,-0.00000001,,,,0.000000,,,80.100,0.300,-0.300,0.01000,0.00000,0.00000,0,0.150,,100.956125,-1.063033,31.17,0.01,-0.01,11.668,0.008,V (Johnson),,,0.83,0.04,-0.04,0.050,,,5275.00,75.00,-75.00,4.50,0.10,-0.10,,,,Leger et al. 2009,b
Kepler-1338,0.93511806,0.00000276,-0.00000276,,,,,,,,,,,,,,0.082,,284.042335,41.699139,,,,13.615,,Kepler-band,,,1.05,0.21,-0.11,0.000,0.155,-0.177,5909.00,114.45,-138.71,4.41,0.08,-0.15,3.800,2.490,-2.070,Morton et al. 2016,b
Kepler-1340,0.66502692,0.00000160,-0.00000160,,,,,,,,,,,,,,0.138,,296.232807,42.472790,,,,14.758,,Kepler-band,,,1.42,0.64,-0.25,0.070,0.146,-0.139,6331.00,166.81,-219.14,4.24,0.13,-0.26,2.400,0.890,-0.773,Morton et al. 2016,b
Kepler-1409,0.76486493,0.00000240,-0.00000240,,,,,,,,,,,,,,0.093,,290.084786,51.208603,,,,15.168,,Kepler-band,,,0.79,0.04,-0.04,-0.030,0.147,-0.155,5160.00,76.61,-73.84,4.57,0.03,-0.06,4.790,5.980,-2.950,Morton et al. 2016,b
Kepler-1415,0.63642408,0.00000160,-0.00000160,,,,,,,,,,,,,,0.115,,285.156913,47.873333,,,,15.744,,Kepler-band,,,0.84,0.06,-0.04,0.120,0.145,-0.148,5267.00,55.51,-59.06,4.54,0.03,-0.07,4.170,6.420,-2.520,Morton et al. 2016,b
Kepler-1427,0.96897238,0.00000677,-0.00000677,,,,,,,,,,,,,,0.098,,295.349667,45.114548,,,,15.415,,Kepler-band,,,1.01,0.20,-0.10,0.060,0.139,-0.157,5793.00,120.55,-179.64,4.44,0.07,-0.15,4.070,3.150,-2.380,Morton et al. 2016,b
Kepler-990,0.53835431,0.00000067,-0.00000067,,,,,,,,,,,,,,0.136,,297.938209,46.881393,,,,14.498,,Kepler-band,,,1.08,0.27,-0.14,0.010,0.134,-0.173,5948.00,211.07,-213.60,4.39,0.10,-0.16,3.550,2.380,-1.750,Morton et al. 2016,c
Kepler-1039,0.93488424,0.00000087,-0.00000087,,,,,,,,,,,,,,0.130,,298.326591,45.315514,,,,14.145,,Kepler-band,,,0.74,0.04,-0.04,0.010,0.150,-0.164,4870.00,194.18,-173.27,4.60,0.03,-0.04,4.370,5.920,-2.570,Morton et al. 2016,b
Kepler-1067,0.76212926,0.00000273,-0.00000273,,,,,,,,,,,,,,0.071,,285.387409,45.049053,,,,14.305,,Kepler-band,,,0.93,0.16,-0.06,0.030,0.132,-0.172,5592.00,63.05,-65.87,4.49,0.05,-0.14,4.790,5.350,-3.040,Morton et al. 2016,b
Kepler-1087,0.69384285,0.00000159,-0.00000159,,,,,,,,,,,,,,0.054,,294.978825,46.005653,-41.34,1.32,-1.32,12.953,,Kepler-band,,,0.94,0.26,-0.07,0.010,0.153,-0.255,5589.00,122.90,-191.41,4.48,0.06,-0.20,3.550,5.320,-2.190,Morton et al. 2016,b
Kepler-1107,0.57103852,0.00000042,-0.00000042,,,,,,,,,,,,,,0.120,,291.049927,39.141674,,,,14.098,,Kepler-band,,,0.82,0.06,-0.04,0.010,0.148,-0.162,5268.00,104.99,-126.81,4.55,0.03,-0.07,4.470,6.030,-2.700,Morton et al. 2016,b
Kepler-1258,0.98494017,0.00000318,-0.00000318,,,,,,,,,,,,,,0.077,,285.404941,49.994747,,,,13.835,,Kepler-band,,,0.99,0.15,-0.08,-0.070,0.145,-0.182,5839.00,79.16,-73.45,4.45,0.06,-0.12,3.890,3.110,-2.170,Morton et al. 2016,b
Kepler-1259,0.66308526,0.00000087,-0.00000087,,,,,,,,,,,,,,0.128,,297.841489,46.967682,,,,15.304,,Kepler-band,,,0.77,0.04,-0.04,-0.070,0.144,-0.169,5053.00,113.64,-67.62,4.58,0.03,-0.05,5.250,6.000,-3.100,Morton et al. 2016,b
Kepler-1264,0.96852602,0.00000233,-0.00000233,,,,,,,,,,,,,,0.105,,289.884378,45.211502,,,,14.511,,Kepler-band,,,0.98,0.18,-0.09,-0.020,0.139,-0.180,5791.00,109.18,-145.15,4.45,0.07,-0.14,4.170,3.040,-2.500,Morton et al. 2016,b
Kepler-607,0.63816320,0.00000168,-0.00000168,,,,,,,,,,,,,,0.078,,291.057206,44.632381,,,,14.405,,Kepler-band,,,0.80,0.05,-0.04,-0.020,0.146,-0.158,5196.00,94.48,-118.36,4.56,0.03,-0.06,4.900,6.040,-2.980,Morton et al. 2016,b
Kepler-1139,0.81316672,0.00000125,-0.00000125,,,,,,,,,,,,,,0.106,,287.945617,39.230568,,,,14.113,,Kepler-band,,,0.91,0.12,-0.06,0.050,0.128,-0.152,5550.00,105.36,-153.89,4.50,0.05,-0.12,4.470,5.370,-2.780,Morton et al. 2016,b
Kepler-1173,0.76985360,0.00000120,-0.00000120,,,,,,,,,,,,,,0.079,,293.131095,45.663548,,,,13.829,,Kepler-band,,,0.82,0.06,-0.04,0.000,0.148,-0.164,5252.00,92.48,-116.76,4.55,0.03,-0.07,4.790,6.400,-3.000,Morton et al. 2016,b
Kepler-80,0.98678730,0.00000006,-0.00000006,0.017500,0.000200,-0.000200,,,,86.500,2.360,-2.590,,,,,0.108,,296.112564,39.978779,,,,14.804,,Kepler-band,,,0.68,0.02,-0.02,0.040,0.080,-0.080,4540.00,100.00,-100.00,4.64,0.01,-0.01,2.000,1.000,-1.000,Morton et al. 2016,f
Kepler-653,0.90037648,0.00000363,-0.00000363,,,,,,,,,,,,,,0.070,,282.212930,46.717819,,,,13.387,,Kepler-band,,,1.19,0.17,-0.16,0.230,0.077,-0.078,5665.00,54.97,-60.88,4.29,0.12,-0.11,7.760,1.900,-2.880,Morton et al. 2016,c
Kepler-1203,0.58800076,0.00000058,-0.00000058,,,,,,,,,,,,,,0.095,,292.773384,44.178127,,,,14.934,,Kepler-band,,,0.61,0.01,-0.02,0.010,0.092,-0.088,4105.00,43.70,-35.84,4.67,0.01,-0.01,3.470,4.400,-1.800,Morton et al. 2016,b
Kepler-1228,0.57736958,0.00000041,-0.00000041,,,,,,,,,,,,,,0.137,,296.553083,46.966290,,,,14.859,,Kepler-band,,,0.74,0.05,-0.07,-0.180,0.179,-0.248,5063.00,94.76,-81.19,4.59,0.04,-0.05,5.130,5.960,-3.230,Morton et al. 2016,b
K2-22,0.38107800,0.00000100,-0.00000100,0.008800,0.000800,-0.000800,,,,,,,1.40000,,,1,0.223,,169.482819,2.619070,,,,15.597,0.050,V (Johnson),1.445,0.103,0.57,0.06,-0.06,0.030,0.080,-0.080,3830.00,100.00,-100.00,4.65,0.12,-0.12,,,,Sanchis-Ojeda et al. 2015,b
WASP-47,0.78959200,0.00001200,-0.00001200,,,,,,,85.980,0.750,-0.750,0.02149,0.00208,-0.00208,0,0.161,,331.203047,-12.018885,-27.06,0.00,,11.900,,V (Johnson),0.735,0.042,1.14,0.01,-0.01,0.380,0.050,-0.050,5552.00,75.00,-75.00,4.34,0.01,-0.01,,,,Becker et al. 2015,e
Kepler-1351,0.91614077,0.00000192,-0.00000192,,,,,,,,,,,,,,0.058,,293.608720,42.197678,,,,14.107,,Kepler-band,,,0.67,0.03,-0.04,-0.030,0.156,-0.161,4439.00,82.58,-77.72,4.64,0.02,-0.03,4.170,5.540,-2.370,Morton et al. 2016,b
Kepler-1356,0.63400294,0.00000120,-0.00000120,,,,,,,,,,,,,,0.136,,290.995346,43.243938,,,,15.760,,Kepler-band,,,0.78,0.04,-0.04,-0.020,0.142,-0.158,5106.00,65.11,-84.13,4.58,0.03,-0.05,4.900,6.220,-3.010,Morton et al. 2016,b
Kepler-1284,0.66407381,0.00000148,-0.00000148,,,,,,,,,,,,,,0.108,,291.279002,47.687649,,,,15.645,,Kepler-band,,,0.79,0.05,-0.04,0.030,0.170,-0.175,5123.00,62.80,-83.53,4.57,0.03,-0.05,4.470,6.030,-2.680,Morton et al. 2016,b
Kepler-1368,0.67564949,0.00000255,-0.00000255,,,,,,,,,,,,,,0.147,,294.766985,41.644680,,,,15.892,,Kepler-band,,,1.08,0.22,-0.11,0.100,0.148,-0.139,5906.00,120.57,-160.03,4.40,0.07,-0.15,3.470,2.210,-1.800,Morton et al. 2016,b
Kepler-828,0.56785714,0.00000044,-0.00000044,,,,,,,,,,,,,,0.135,,286.887275,42.471256,,,,15.055,,Kepler-band,,,0.77,0.04,-0.04,-0.020,0.164,-0.175,5039.00,50.73,-59.50,4.58,0.03,-0.05,4.570,6.370,-2.740,Morton et al. 2016,b
Kepler-1310,0.67933627,0.00000072,-0.00000072,,,,,,,,,,,,,,0.128,,283.920035,40.740123,,,,14.159,,Kepler-band,,,0.88,0.10,-0.07,-0.070,0.151,-0.183,5549.00,136.60,-124.53,4.51,0.05,-0.10,4.170,5.360,-2.490,Morton et al. 2016,b
Kepler-1315,0.84338011,0.00000082,-0.00000082,,,,,,,,,,,,,,0.123,,295.821448,46.053029,,,,14.975,,Kepler-band,,,0.75,0.03,-0.03,0.070,0.157,-0.165,4861.00,81.92,-112.47,4.60,0.02,-0.04,3.470,5.950,-1.840,Morton et al. 2016,b
Kepler-1377,0.74092842,0.00000185,-0.00000185,,,,,,,,,,,,,,0.112,,289.195458,46.651703,,,,15.918,,Kepler-band,,,0.82,0.05,-0.04,0.050,0.136,-0.140,5218.00,42.47,-53.61,4.55,0.03,-0.07,5.010,6.630,-3.150,Morton et al. 2016,b
Kepler-1379,0.88184115,0.00000313,-0.00000313,,,,,,,,,,,,,,0.116,,293.670471,41.410248,,,,15.919,,Kepler-band,,,0.79,0.05,-0.05,-0.040,0.165,-0.183,5188.00,78.92,-114.14,4.57,0.04,-0.06,5.010,6.050,-3.100,Morton et al. 2016,b
Kepler-845,0.92785982,0.00000055,-0.00000055,,,,,,,,,,,,,,0.182,,290.957565,49.203812,,,,14.631,,Kepler-band,,,0.75,0.03,-0.03,0.010,0.146,-0.159,4913.00,57.49,-57.47,4.59,0.02,-0.04,4.790,5.860,-2.920,Morton et al. 2016,b
Kepler-922,0.93846683,0.00000095,-0.00000095,,,,,,,,,,,,,,0.127,,284.731462,49.533195,,,,13.757,,Kepler-band,,,0.93,0.11,-0.07,-0.050,0.152,-0.179,5671.00,64.06,-65.37,4.48,0.06,-0.11,4.370,4.220,-2.570,Morton et al. 2016,b
Kepler-929,0.92103214,0.00000315,-0.00000315,,,,,,,,,,,,,,0.099,,298.481124,41.615332,,,,14.542,,Kepler-band,,,1.02,0.24,-0.14,-0.040,0.140,-0.183,5869.00,290.44,-266.47,4.42,0.09,-0.15,3.470,3.420,-1.780,Morton et al. 2016,b
Kepler-1317,0.56887443,0.00000060,-0.00000060,,,,,,,,,,,,,,0.139,,291.611881,42.115971,,,,15.230,,Kepler-band,,,0.79,0.04,-0.04,-0.010,0.133,-0.156,5144.00,84.20,-69.20,4.57,0.03,-0.05,4.790,5.830,-2.760,Morton et al. 2016,b
Kepler-1320,0.86838653,0.00000116,-0.00000116,,,,,,,,,,,,,,0.152,,288.433591,40.380875,,,,15.898,,Kepler-band,,,0.74,0.03,-0.03,0.100,0.154,-0.167,4817.00,51.95,-67.43,4.60,0.01,-0.04,3.160,6.570,-1.640,Morton et al. 2016,b
