pl_hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,hip_name,ra,dec,st_radv,st_radverr1,st_radverr2,st_optmag,st_optmagerr,st_optband,st_bmvj,st_bmvjerr,st_rad,st_raderr1,st_raderr2,st_metfe,st_metfeerr1,st_metfeerr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,pl_disc_refname,pl_letter
WASP-136,5.21535700,0.00000600,-0.00000600,0.066100,0.001200,-0.001200,,,,84.700,1.600,-1.300,1.51000,0.08000,-0.08000,0,1.380,,0.325750,-8.926325,11.64,0.38,-0.38,9.980,,V (Johnson),,,2.21,0.22,-0.22,-0.180,0.100,-0.100,6260.00,100.00,-100.00,3.90,0.06,-0.06,3.620,0.700,-0.700,Lam et al. 2017,b
KELT-1,1.21751400,0.00001500,-0.00001500,0.024660,0.000160,-0.000160,0.009900,0.010000,-0.006900,87.800,1.300,-1.900,27.23000,0.50000,-0.48000,0,1.110,,0.362142,39.383808,-14.20,0.20,,10.701,0.057,V (Johnson),,,1.46,0.04,,,,,6518.00,50.00,,,,,,,,Siverd et al. 2012,b
HATS-34,2.10616070,0.00000470,-0.00000470,0.031660,0.000340,-0.000340,0.108000,,,82.280,0.430,-0.590,0.94100,0.07200,-0.07200,0,1.430,,0.774485,-62.469341,17.74,0.01,-0.01,13.849,0.010,V (Johnson),,,0.98,0.05,-0.05,0.250,0.070,-0.070,5380.00,73.00,-73.00,4.43,0.04,-0.04,7.700,2.700,-2.700,de Val-Borro et al. 2016,b
WASP-96,3.42526020,0.00000270,-0.00000270,0.045300,0.001300,-0.001300,0.000000,,,85.600,0.200,-0.200,0.48000,0.03000,-0.03000,0,1.200,,1.046351,-47.360626,-1.23,0.00,-0.00,,,,,,1.05,0.05,-0.05,0.140,0.190,-0.190,5540.00,140.00,-140.00,4.42,0.02,-0.02,8.000,26.000,-8.000,Hellier et al. 2014,b
HD 142,6005.00000000,477.00000000,-477.00000000,6.800000,0.500000,-0.500000,0.210000,0.070000,-0.070000,,,,5.30000,0.70000,-0.70000,0,,HIP 522,1.579898,-49.075191,5.30,0.30,-0.30,5.700,,V (Johnson),0.520,,1.47,0.04,-0.04,0.090,0.050,-0.050,6245.00,48.00,-48.00,4.62,0.07,-0.07,,,,Wittenmyer et al. 2012,c
HD 142,349.70000000,1.20000000,-1.20000000,1.020000,0.030000,-0.030000,0.170000,0.060000,-0.060000,,,,1.25000,0.15000,-0.15000,0,,HIP 522,1.579898,-49.075191,5.30,0.30,-0.30,5.700,,V (Johnson),0.520,,1.47,0.04,-0.04,0.090,0.050,-0.050,6245.00,48.00,-48.00,4.62,0.07,-0.07,,,,Tinney et al. 2002,b
HD 564,492.30000000,2.30000000,-2.30000000,1.200000,0.020000,-0.020000,0.096000,0.067000,-0.067000,,,,0.33000,0.03000,-0.03000,0,,HIP 801,2.470091,-50.267822,11.46,0.38,-0.38,8.290,,V (Johnson),0.610,,1.01,0.05,-0.05,-0.200,0.050,-0.050,5902.00,61.00,-61.00,4.53,0.10,-0.10,5.500,3.100,-3.100,Moutou et al. 2015,b
WASP-44,2.42380400,0.00000800,-0.00000800,0.034530,0.000650,-0.000650,,,,86.210,0.680,-0.640,0.87000,0.06300,-0.06200,0,1.100,,3.903165,-11.938115,-4.04,0.01,-0.01,12.900,,V (Johnson),,,0.91,0.05,-0.05,-0.003,0.100,-0.100,5420.00,100.00,-100.00,4.49,0.04,-0.04,,,,Anderson et al. 2011,b
WASP-32,2.71866000,0.00000200,-0.00000200,,,,0.000000,,,85.100,0.200,-0.200,2.63000,0.82000,-0.82000,0,0.960,,3.961682,1.200451,18.28,0.00,,11.300,,V (Johnson),,,0.95,0.15,-0.15,-0.130,,,6140.00,95.00,-95.00,4.40,0.02,-0.02,,,,Maxted et al. 2010,b
GJ 3021,133.71000000,0.20000000,-0.20000000,0.490000,,,0.511000,0.017000,-0.017000,,,,3.37000,0.09000,-0.09000,0,,HIP 1292,4.052823,-79.851181,-5.81,0.00,-0.00,6.590,0.000,V (Johnson),0.750,0.000,0.90,,,0.100,0.080,-0.080,5540.00,75.00,-75.00,4.70,0.20,-0.20,,,,Naef et al. 2001,b
WASP-158,3.65633300,0.00000400,-0.00000400,0.051700,0.001800,-0.001800,0.000000,,,87.700,1.500,-1.500,2.79000,0.23000,-0.23000,0,1.070,,4.146333,-10.976417,24.20,0.01,-0.01,,,,,,1.39,0.18,-0.18,0.240,0.100,-0.100,6350.00,150.00,-150.00,4.30,0.05,-0.11,1.930,0.930,-0.930,Hellier et al. 2018,b
HD 1397,11.53533000,0.00079000,-0.00080000,0.109700,0.001100,-0.001300,0.251000,0.020000,-0.019000,88.990,0.670,-0.730,0.41500,0.02000,-0.02000,0,1.026,HIP 1419,4.446472,-66.358910,30.75,0.14,-0.14,7.781,0.011,V (Johnson),0.778,0.020,2.34,0.05,-0.06,0.290,0.090,-0.090,5521.00,60.00,-60.00,3.82,0.02,-0.02,4.510,0.500,-0.500,Nielsen et al. 2019,b
GJ 15 A,7600.00000000,2200.00000000,-1700.00000000,5.400000,1.000000,-0.900000,0.270000,0.280000,-0.190000,,,,0.11327,0.07866,-0.05663,0,,HIP 1475,4.595356,44.022953,11.51,0.14,-0.14,8.080,,V (Johnson),1.480,0.030,0.38,0.05,-0.05,-0.340,0.090,-0.090,3607.00,68.00,-68.00,4.87,0.04,-0.04,,,,Pinamonti et al. 2018,c
GJ 15 A,11.44070000,0.00170000,-0.00160000,0.072000,0.003000,-0.004000,0.094000,0.091000,-0.065000,,,,0.00953,0.00145,-0.00138,0,,HIP 1475,4.595356,44.022953,11.51,0.14,-0.14,8.080,,V (Johnson),1.480,0.030,0.38,0.05,-0.05,-0.340,0.090,-0.090,3607.00,68.00,-68.00,4.87,0.04,-0.04,,,,Howard et al. 2014,b
